WEBSITE_ID,DT_ET,SESSION_TYPE,REVENUE,SESSIONS,RPS,PERC_MAKEUP
74058,2026-03-02 23:00:00.000 -0500,case2,4.101798064,876.675184,0.00467881165,8.123401705000
74058,2026-03-02 23:00:00.000 -0500,case3,9.921959901,2324.233258,0.004268917445,21.536688565500
74058,2026-03-03 00:00:00.000 -0500,case0,21.202351844,5448.668404,0.003891290545,46.993227106200
74058,2026-03-03 00:00:00.000 -0500,case1,9.467497704,2943.087265,0.003216859322,25.383296978700
74058,2026-03-03 00:00:00.000 -0500,case2,2.692516145,670.440234,0.00401604201,5.782357787500
74058,2026-03-03 00:00:00.000 -0500,case3,9.985738723,2532.386422,0.003943212867,21.841118127600
74058,2026-03-03 01:00:00.000 -0500,case0,11.275574393,3709.773813,0.003039423685,30.784450680000
74058,2026-03-03 01:00:00.000 -0500,case1,9.409739415,3167.869412,0.002970368469,26.287618758000
74058,2026-03-03 01:00:00.000 -0500,case2,5.801140012,2643.873633,0.002194182029,21.939396190100
74058,2026-03-03 01:00:00.000 -0500,case3,7.07305055,2529.287139,0.002796460094,20.988534371900
74058,2026-03-03 02:00:00.000 -0500,case0,10.069198776,4533.792836,0.002220921674,40.232048964500
74058,2026-03-03 02:00:00.000 -0500,case1,4.001027186,1357.245431,0.00294790249,12.043947884700
74058,2026-03-03 02:00:00.000 -0500,case2,8.258431432,3007.337045,0.002746094405,26.686559272500
74058,2026-03-03 02:00:00.000 -0500,case3,5.410348836,2370.732160,0.002282142592,21.037443878200
74058,2026-03-03 03:00:00.000 -0500,case0,11.251599997,4400.970227,0.002556618068,40.690101758500
74058,2026-03-03 03:00:00.000 -0500,case1,7.580954229,3445.698376,0.002200121253,31.857933663900
74058,2026-03-03 03:00:00.000 -0500,case2,2.051227595,944.428972,0.002171923624,8.731917961800
74058,2026-03-03 03:00:00.000 -0500,case3,5.382026618,2024.727495,0.002658148631,18.720046615900
74058,2026-03-03 04:00:00.000 -0500,case0,12.496328838,5150.163740,0.002426394474,40.109112175800
