WEBSITE_ID,ARM,PRICE_BIN,PERC_MAKEUP
75946,case2,$0.16 - $0.30,28.393300
75946,case2,$0.31 - $0.40,10.951000
75946,case2,$0.41 - $0.60,10.068100
75946,case2,$0.61 - $1.50,0.117300
75946,case2,$1.51 - $3.00,0.071300
75946,case2,$3.01+,0.474400
75946,case3,$0.04 - $0.06,33.794400
75946,case3,$0.07 - $0.15,11.405500
75946,case3,$0.16 - $0.30,33.064100
75946,case3,$0.31 - $0.40,7.447100
75946,case3,$0.41 - $0.60,9.627300
75946,case3,$0.61 - $1.50,3.913000
75946,case3,$1.51 - $3.00,0.255000
75946,case3,$3.01+,0.493400
76970,case0,$0.04 - $0.06,93.262700
76970,case0,$0.16 - $0.30,6.737300
76970,case1,$0.04 - $0.06,78.809900
76970,case1,$0.07 - $0.15,12.003600
76970,case1,$0.16 - $0.30,9.112500
76970,case1,$0.31 - $0.40,0.027500
76970,case1,$0.41 - $0.60,0.045600
76970,case1,$0.61 - $1.50,0.001000
76970,case2,$0.04 - $0.06,73.328900
76970,case2,$0.07 - $0.15,13.902700
76970,case2,$0.16 - $0.30,11.056300
76970,case2,$0.31 - $0.40,1.625500
76970,case2,$0.41 - $0.60,0.065200
76970,case2,$0.61 - $1.50,0.005800
76970,case2,$1.51 - $3.00,0.015500
76970,case3,$0.04 - $0.06,62.626400
76970,case3,$0.07 - $0.15,21.692400
76970,case3,$0.16 - $0.30,13.201000
76970,case3,$0.31 - $0.40,0.438500
76970,case3,$0.41 - $0.60,2.036000
76970,case3,$0.61 - $1.50,0.001500
76970,case3,$1.51 - $3.00,0.001700
76970,case3,$3.01+,0.002400
